time,x,y,direction,E5:53:39:5F:31:1A,F8:9D:4B:5D:44:F4,FD:AF:34:29:05:FE,C6:62:EC:2D:90:AB,D6:77:D9:C0:A6:54,FA:C4:4A:07:18:9F,C4:35:CE:FD:FB:DF,CC:7F:D5:E0:41:92,D7:B8:72:01:49:AC,C5:EB:92:59:4D:1A,C2:80:A9:28:D0:79,FC:92:D5:14:99:90
7/9/2024 9:39,34,34,S,,,,-75,,,-71,-60,-51,,,-73
7/9/2024 9:39,34,34,S,-64,,,,,-85,,,-46,-54,-58,-68
7/9/2024 9:39,34,34,S,-55,,-56,,,,-56,,-60,-53,,
7/9/2024 9:39,34,34,S,,-61,-56,,,-66,,,-46,-54,-59,-76
7/9/2024 9:39,34,34,S,,-73,-56,,,-67,-68,-67,-51,-56,-61,-76
7/9/2024 9:39,34,34,S,-55,,,,,,-58,,,-50,-59,
7/9/2024 9:39,34,34,S,-57,,-67,-58,,-62,-61,,-52,-54,-59,-73
7/9/2024 9:39,34,34,S,,,-68,,,,,,,-50,,-77
7/9/2024 9:39,34,34,S,,,-57,-74,,,-55,-59,-51,-51,-55,-71
7/9/2024 9:39,34,34,S,,,,,,-61,,-60,-51,-51,-54,-75
7/9/2024 9:39,34,34,S,-63,,-75,,-71,-60,-59,,-51,,,-70
7/9/2024 9:39,34,34,S,-57,,-65,-57,,-68,-60,,-47,-54,-58,-75
7/9/2024 9:39,34,34,S,-54,,-79,,,,-75,,-60,-51,-61,
7/9/2024 9:39,34,34,S,-63,,,,-57,,-57,,-52,-54,-55,-75
7/9/2024 9:39,34,34,S,-54,,-56,-73,-71,,,-59,-46,-50,,
7/9/2024 9:39,34,34,S,-54,,,,-56,-62,-69,,-61,-51,-54,-70
7/9/2024 9:39,34,34,S,,,,-58,,-60,-57,,-46,-53,-55,-69
7/9/2024 9:39,34,34,S,-64,-72,-78,,,,,-65,-59,-50,-61,-73
7/9/2024 9:39,34,34,S,,-59,-77,,-71,,-56,-61,,-53,-55,-68
7/9/2024 9:39,34,34,S,,,,-91,-70,,-61,,-51,,-61,-75
7/9/2024 9:39,34,34,S,-62,-77,,,,-72,-56,-61,,-53,-60,-68
7/9/2024 9:39,34,34,S,,-61,-73,,,,,-59,-57,-69,-55,-66
7/9/2024 9:39,34,34,S,,-58,,-58,,,-60,-61,-52,-54,,-71
7/9/2024 9:39,34,34,S,-55,,-75,,-56,,-60,,,-54,,-69
7/9/2024 9:39,34,34,S,-64,,,-58,,-60,-60,-61,-57,-52,-54,-80
7/9/2024 9:39,34,34,S,-57,-60,,-58,-72,,,-71,-46,-51,,-71
7/9/2024 9:40,34,34,S,,,-74,-76,,-65,-57,-59,-61,-53,-61,-67
7/9/2024 9:40,34,34,S,,,-93,,-56,-65,-60,-61,,-54,-60,-74
7/9/2024 9:40,34,34,S,,,-78,-57,,,,-59,-61,,-82,-69
7/9/2024 9:40,34,34,S,-57,-59,,,-73,,,,,-53,,-71
7/9/2024 9:40,34,34,S,,,-56,,-72,,-56,-60,-49,-50,-59,
7/9/2024 9:40,34,34,S,-63,,,-68,,-63,,,,-54,-62,-70
7/9/2024 9:40,34,34,S,,-59,-67,-58,,,-73,,-46,,-58,-74
7/9/2024 9:40,34,34,S,,-61,-57,-58,,-61,,-60,-51,-52,-58,-67
7/9/2024 9:40,34,34,S,-56,,,,-72,,-60,-66,,-53,,-78
7/9/2024 9:40,34,34,S,-67,-59,,,,,-80,,-61,-53,-58,
7/9/2024 9:40,34,34,S,-79,-60,-67,,-74,-60,,-60,-46,-55,-55,-67
7/9/2024 9:40,34,34,S,,,-85,-92,,,-61,-59,-63,-55,-59,-74
7/9/2024 9:40,34,34,S,-63,-59,,,,-61,-56,-60,,-53,-61,-77
7/9/2024 9:40,34,34,S,,-61,,,-56,-62,,-67,-57,-53,,
7/9/2024 9:40,34,34,S,,,-70,,-73,,,,-52,-54,,-74
7/9/2024 9:40,34,34,S,-62,-61,-77,,-72,,-56,-60,-46,-50,-62,
7/9/2024 9:40,34,34,S,,,-67,-58,-74,,,-61,-60,-52,-61,-67
7/9/2024 9:40,34,34,S,-63,-80,,,,-61,-71,-59,-51,-53,-54,-73
7/9/2024 9:40,34,34,S,,,-56,-58,-71,,,-60,-46,-52,-58,
7/9/2024 9:40,34,34,S,,,,-57,-56,-61,-60,-68,-51,,-54,-72
7/9/2024 9:40,34,34,S,,,,-74,,-63,,-67,,-51,,
7/9/2024 9:40,34,34,S,,-58,-57,,-75,,-76,,,-53,-54,-73
7/9/2024 9:40,34,34,S,,,,,-73,-63,,-63,-47,-53,-55,
7/9/2024 9:40,34,34,S,,-61,,-74,-70,-70,-56,-62,,-68,-55,
7/9/2024 9:40,34,34,S,,-59,-56,-58,-55,-64,-61,-69,-51,,,-68
7/9/2024 9:40,34,34,S,-55,,,,-56,,,-64,,-53,,-73
